Site,RCP,TBTM_WinterMin,SST_WinterMin,SBTM_AnnMean,SSS_AnnMean,SST_SpringMean,SST_SummerMax,TBTM_FallMin
MASI,Present,0.346203923225403,0.316773474216461,30.5444355010986,30.5408535003662,7.28759527206421,14.9292430877686,4.92150449752808
SAC,Present,0.249839067459106,0.196270704269409,30.5400829315186,30.5239315032959,7.4638524055481,15.4414653778076,4.82715559005737
L3F,Present,0.365333020687103,0.307844936847687,30.6072578430176,30.3476066589355,5.0818190574646,14.3327207565308,5.37588691711426
SUM,Present,-1.52263927459717,-1.5481014251709,26.4871559143066,26.4638233184814,8.71346187591553,20.6781215667725,0.157588511705399
POK,Present,-1.44083368778229,-1.61801052093506,28.0961208343506,27.9162254333496,5.20393991470337,17.2543087005615,1.28127801418304
PRJ,Present,1.384521484375,1.38154602050781,30.8394794464111,30.6115055084229,6.08944416046143,14.2848148345947,6.18624448776245
SAM,Present,0.507017076015472,0.397506982088089,31.0458927154541,30.3738651275635,5.53656005859375,15.016996383667,5.40491628646851
NAH,Present,2.14079666137695,1.70122122764587,30.8703002929688,30.1378879547119,8.74557876586914,17.7848567962646,6.68533086776733
RIM,Present,2.8063952922821,-1.37706851959229,32.5204582214355,23.3044528961182,4.86882877349854,15.65576171875,3.43001675605774
SEPT,Present,-0.329671859741211,-1.16246104240417,28.5232410430908,26.3999290466309,4.6330394744873,11.7648067474365,1.71267378330231
GRB,Present,2.54763317108154,2.01300311088562,31.4790439605713,30.6190071105957,7.8305401802063,16.0843467712402,6.57803106307983
HEB,Present,1.44756233692169,1.44763839244843,30.851541519165,30.6081066131592,6.44201517105103,14.3631219863892,6.20971822738647
PORT,Present,1.60055458545685,1.42142653465271,30.9465007781982,30.7578754425049,7.82517766952515,15.2000980377197,5.09631395339966
PETI,Present,-1.62625348567963,-1.65150272846222,29.5838108062744,29.4916152954102,4.8456335067749,17.1806297302246,1.84056460857391
NRIV,Present,-1.37539005279541,-1.46796226501465,28.9897956848145,28.9372272491455,4.97816801071167,17.8648090362549,3.34962487220764
POUL,Present,-0.667180716991425,-0.792965233325958,30.1189517974854,29.7513847351074,4.67365789413452,16.1682281494141,4.78327465057373
JB1,Present,-1.17336463928223,-1.20157849788666,17.7647190093994,17.5593242645264,1.47291600704193,13.5002813339233,-0.976286351680756
JB2,Present,-1.03966629505157,-1.08994483947754,14.7634286880493,14.3661184310913,1.91595876216888,14.1064310073853,-0.831953465938568
BUCK,Present,-1.64838135242462,-1.6931791305542,31.2552623748779,31.2504062652588,5.29375886917114,14.7832431793213,0.11808206140995
MELM,Present,-1.39049565792084,-1.41277551651001,26.4598789215088,26.4341888427734,7.8128080368042,20.0481986999512,1.41806662082672
TAYH,Present,0.003265766659752,-0.069127917289734,30.3193130493164,30.1266307830811,4.92495059967041,14.7610206604004,5.09226512908936
MASI45,4.5,1.38091552257538,1.34885674715042,30.2655086815357,30.2598386704922,8.36757504940033,15.833709359169,5.77382880449295
SAC45,4.5,1.27977204322815,1.2241153717041,30.2615109980106,30.2380911707878,8.54396951198578,16.3212016820908,5.67731583118439
L3F45,4.5,1.43201798200607,1.34783798456192,30.3642009943724,30.0694897174835,6.19279277324677,15.3154590725899,6.15988177061081
SUM45,4.5,-1.45423464477062,-1.50640738010406,25.8569600582123,25.8435306549072,11.0001020431519,21.6140228509903,1.04158636927605
POK45,4.5,-1.27935793995857,-1.56881387159228,27.6529386639595,27.4661686718464,6.62040042877197,18.1485811471939,2.20914572477341
PRJ45,4.5,2.40274107456207,2.35430037975311,30.6078770011663,30.349533945322,7.16844046115875,15.2261053323746,6.75728577375412
SAM45,4.5,1.48381388187408,1.44529059529305,30.8439186364412,30.0946475565434,6.6763561964035,15.9516065716743,5.74012669920921
NAH45,4.5,3.14688408374786,2.68619984388351,30.6420609802008,29.8606599867344,9.75101268291473,18.7504949569702,7.34726822376251
RIM45,4.5,3.15336054563522,-1.37209591874853,32.3572269976139,22.832287967205,5.84775942564011,16.5337356328964,3.86124068498611
SEPT45,4.5,-0.260491095483303,-1.10114631801844,28.2310707867146,26.0804632902145,6.1374260187149,13.5284698009491,2.25577449798584
GRB45,4.5,3.63597130775452,2.9795635342598,31.3186400681734,30.3432085812092,8.94618022441864,17.3123639822006,7.20144718885422
HEB45,4.5,2.46533155441284,2.43906116485596,30.6188202798367,30.344499617815,7.50934052467346,15.2690712213516,6.75082236528397
PORT45,4.5,2.63950109481812,2.46400892734528,30.7171884924173,30.5127097219229,8.89108622074127,16.2514501810074,5.83403289318085
PETI45,4.5,-1.42781141400337,-1.47415244579315,29.1777327358723,29.1270439326763,6.83162271976471,18.1657991409302,2.81987166404724
NRIV45,4.5,-0.798161029815674,-0.910922408103943,28.6098513007164,28.5701987147331,6.34219431877136,18.7435829043388,4.29034352302551
POUL45,4.5,0.326647639274597,0.183984696865082,29.8773706704378,29.4426121711731,5.83811557292938,17.2118088006973,5.52354544401169
JB145,4.5,-1.14404456689954,-1.1778644323349,17.1090409755707,16.9047287106514,2.8743588924408,14.9670966863632,-0.910444758832455
JB245,4.5,-0.997922848910093,-1.05648737028241,14.0178680419922,13.6311663985252,3.49978923797607,15.5362619161606,-0.751398466527462
BUCK45,4.5,-1.53261697292328,-1.61111328750849,30.7147523164749,30.705631673336,6.14839327335358,15.4608972668648,0.853312149643898
MELM45,4.5,-1.33226478099823,-1.36780907958746,26.0221094489098,26.0055596232414,9.81397461891174,20.9630626440048,2.35122799873352
TAYH45,4.5,0.977802423993126,0.920794665813446,30.0609432160854,29.846761316061,6.02359628677368,15.7253370285034,5.94291591644287
MASI85,8.5,1.96320712566376,1.93298822641373,30.2283456921577,30.2233743667603,9.0659966468811,16.590987443924,6.30806267261505
SAC85,8.5,1.87665557861328,1.82217586040497,30.2265931069851,30.2043986916542,9.23089003562927,17.0453695058823,6.21616101264954
L3F85,8.5,1.88650006055832,1.83795684576035,30.3302564918995,30.0382696986198,6.84905529022217,15.9739978313446,6.55717754364014
SUM85,8.5,-1.40255968272686,-1.48060257732868,25.78753054142,25.7755535244942,11.7073724269867,22.2538757324219,1.74880459904671
POK85,8.5,-1.16035494208336,-1.52502484619617,27.4595512747765,27.2703735232353,7.13539600372314,18.7585842609406,2.74798595905304
PRJ85,8.5,2.94425678253174,2.91819560527802,30.5612352788448,30.3018880784512,7.84721302986145,16.0007083415985,7.31742215156555
SAM85,8.5,1.74312740564346,1.93017545342445,30.8149797022343,30.0583978891373,7.34131920337677,16.6197769641876,6.17225855588913
NAH85,8.5,3.84683763980865,3.35745513439178,30.6699894368649,29.8512109220028,10.2879332304001,19.341975569725,8.12671744823456
RIM85,8.5,3.55197888612747,-1.2988588064909,32.3886135965586,22.4524893760681,6.8615483045578,17.1056201457977,4.24579286575317
SEPT85,8.5,0.148144364356995,-0.857358127832413,28.0456499457359,25.6979469656944,6.82134294509888,13.8151953220367,2.73335444927216
GRB85,8.5,4.20531940460205,3.66112470626831,31.3209265768528,30.3449731767178,9.51745164394379,17.8921829462051,7.97596144676208
HEB85,8.5,2.97671246528625,2.99862861633301,30.5671834349632,30.3000898659229,8.15997934341431,16.0166763067245,7.31824862957001
PORT85,8.5,3.14715421199799,2.96995425224304,30.7028456330299,30.4843571782112,9.47044384479523,16.9832773208618,6.51391553878784
PETI85,8.5,-1.096519947052,-1.15049487352371,29.1095796227455,29.0553079843521,7.47984957695007,18.6600358486176,3.37698185443878
NRIV85,8.5,-0.023682594299316,-0.10460090637207,28.5542724430561,28.5108016431332,6.96274960041046,19.2440574169159,4.78048849105835
POUL85,8.5,1.0001066327095,0.882952272891998,29.8489805161953,29.4082616269588,6.51921248435974,17.7695478200912,6.01280534267426
JB185,8.5,-1.15521466732025,-1.18891515769064,17.0814945101738,16.840784072876,3.67116367816925,15.9280886650085,-0.866031669080257
JB285,8.5,-0.986923228949308,-1.06038737297058,13.9213718175888,13.5050964951515,4.17948091030121,16.4713666439056,-0.726391397416592
BUCK85,8.5,-1.37610390782356,-1.47503530979156,30.6746934652328,30.6658605337143,6.67386829853058,16.0252933502197,1.42665232717991
MELM85,8.5,-1.30317389965057,-1.35605385154486,26.035758793354,26.0192122161388,10.5173287391663,21.5820987224579,2.9396755695343
TAYH85,8.5,1.57342639402486,1.51270067691803,30.0335012674332,29.8188305497169,6.69456028938293,16.2698657512665,6.40896892547607
